group,total,n_BTM only,n_Shared,n_TOP only,percentage_BTM only,percentage_Shared,percentage_TOP only
IL - Blackwell,12613,748,8811,3054,5.930389280900658,69.85649726472687,24.213113454372472
MO - Blackwell,11977,1844,8718,1415,15.39617600400768,72.78951323369792,11.814310762294397
TX - Blackwell,14757,1040,9598,4119,7.047502879989158,65.04031984820763,27.912177271803213
IL - Kanlow,11365,898,8802,1665,7.901451825780906,77.44830620325561,14.650241970963485
MO - Kanlow,11620,2500,8438,682,21.514629948364888,72.61617900172116,5.869191049913942
TX - Kanlow,14137,1050,9488,3599,7.427318384381411,67.11466364858174,25.458017967036856
IL - NoPlant,10500,668,5875,3957,6.3619047619047615,55.952380952380956,37.68571428571428
MO - NoPlant,11225,2529,7541,1155,22.530066815144767,67.1804008908686,10.289532293986637
TX - NoPlant,11927,466,6771,4690,3.907101534333864,56.770352980632175,39.322545485033956
