"","molecular_formula","C","H","O","N","P","S","AImod","NOSC","GFE","HC","OC","El","Class1","Class2","Class3"
"C10 H8 O3 N2","C10 H8 O3 N2",10,8,3,2,0,0,0.6923,0.4,48.9,0.8,0.3,"CHON","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C9 H8 O6","C9 H8 O6",9,8,6,0,0,0,0.5,0.4444,47.6346,0.89,0.67,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C8 H8 O5 N2","C8 H8 O5 N2",8,8,5,2,0,0,0.4286,1,31.8,1,0.62,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H12 O5","C10 H12 O5",10,12,5,0,0,0,0.3333,-0.2,66,1.2,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C9 H12 O4 N2","C9 H12 O4 N2",9,12,4,2,0,0,0.2,0.2222,53.9673,1.33,0.44,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H16 O4","C11 H16 O4",11,16,4,0,0,0,0.2222,-0.7273,81.02805,1.45,0.36,"CHO","Protein","unsaturated/lignin","unsaturated/lignin"
"C12 H20 O3","C12 H20 O3",12,20,3,0,0,0,0.1429,-1.1667,93.55095,1.67,0.25,"CHO","Lipid","aliphatic","aliphatic"
"C5 H11 O4 N1 S2","C5 H11 O4 N1 S2",5,11,4,1,0,2,0,0.8,37.5,2.2,0.8,"CHONS","Other","aliphatic","lipid"
"C8 H7 O6 N1","C8 H7 O6 N1",8,7,6,1,0,0,0.5,1,31.8,0.88,0.75,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C9 H11 O5 N1","C9 H11 O5 N1",9,11,5,1,0,0,0.2727,0.2222,53.9673,1.22,0.56,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C9 H12 O5 13C1","C9 H12 O5 13C1",9,12,5,0,0,0,0.2308,-0.2222,66.6327,1.33,0.56,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H15 O4 N1","C10 H15 O4 N1",10,15,4,1,0,0,0.1429,-0.4,71.7,1.5,0.4,"CHON","Protein","aliphatic","aliphatic+N"
"C11 H20 O3 13C1","C11 H20 O3 13C1",11,20,3,0,0,0,0.0526,-1.2727,96.57195,1.82,0.27,"CHO","Lipid","aliphatic","aliphatic"
"C12 H14 O3","C12 H14 O3",12,14,3,0,0,0,0.4286,-0.6667,79.30095,1.17,0.25,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C7 H6 O6 N2","C7 H6 O6 N2",7,6,6,2,0,0,0.5,1.7143,11.44245,0.86,0.86,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C9 H10 O4 S1","C9 H10 O4 S1",9,10,4,0,0,1,0.3333,0,60.3,1.11,0.44,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C9 H8 O5 13C1","C9 H8 O5 13C1",9,8,5,0,0,0,0.5385,0.2222,53.9673,0.89,0.56,"CHO","Lignin","aromatic","aromatic"
"C9 H10 O6","C9 H10 O6",9,10,6,0,0,0,0.3333,0.2222,53.9673,1.11,0.67,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C8 H10 O5 N2","C8 H10 O5 N2",8,10,5,2,0,0,0.1429,0.75,38.925,1.25,0.62,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C13 H10 O3","C13 H10 O3",13,10,3,0,0,0,0.6522,-0.3077,69.06945,0.77,0.23,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C10 H14 O5","C10 H14 O5",10,14,5,0,0,0,0.2,-0.4,71.7,1.4,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C9 H14 O4 N2","C9 H14 O4 N2",9,14,4,2,0,0,0,0,60.3,1.56,0.44,"CHON","Protein","aliphatic","aliphatic+N"
"C11 H18 O4","C11 H18 O4",11,18,4,0,0,0,0.1111,-0.9091,86.20935,1.64,0.36,"CHO","Protein","aliphatic","aliphatic"
"C12 H22 O3","C12 H22 O3",12,22,3,0,0,0,0.0476,-1.3333,98.29905,1.83,0.25,"CHO","Lipid","aliphatic","aliphatic"
"C7 H5 O3 N1 S2","C7 H5 O3 N1 S2",7,5,3,1,0,2,0.6,1.1429,27.72735,0.71,0.43,"CHONS","Cond Hydrocarbon","aromatic","aromatic"
"C6 H6 O6 N2 13C1","C6 H6 O6 N2 13C1",6,6,6,2,0,0,0,2,3.3,1,1,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C9 H13 O5 N1","C9 H13 O5 N1",9,13,5,1,0,0,0.0909,0,60.3,1.44,0.56,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C9 H14 O5 13C1","C9 H14 O5 13C1",9,14,5,0,0,0,0.0769,-0.4444,72.9654,1.56,0.56,"CHO","Amino Sugar","aliphatic","aliphatic"
"C10 H17 O4 N1","C10 H17 O4 N1",10,17,4,1,0,0,0,-0.6,77.4,1.7,0.4,"CHON","Protein","aliphatic","aliphatic+N"
"C10 H18 O4 13C1","C10 H18 O4 13C1",10,18,4,0,0,0,0,-1,88.8,1.8,0.4,"CHO","Protein","aliphatic","aliphatic"
"C10 H12 O3 N2","C10 H12 O3 N2",10,12,3,2,0,0,0.3846,0,60.3,1.2,0.3,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H21 O3 N1","C11 H21 O3 N1",11,21,3,1,0,0,-0.0588,-1.0909,91.39065,1.91,0.27,"CHON","Lipid","aliphatic","aliphatic+N"
"C6 H5 O3 N1 S2 13C1","C6 H5 O3 N1 S2 13C1",6,5,3,1,0,2,0.3333,1.3333,22.30095,0.83,0.5,"CHONS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H14 O3 N2","C10 H14 O3 N2",10,14,3,2,0,0,0.2308,-0.2,66,1.4,0.3,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C8 H8 O5 S1","C8 H8 O5 S1",8,8,5,0,0,1,0.3333,0.5,46.05,1,0.62,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C8 H8 O7","C8 H8 O7",8,8,7,0,0,0,0.3333,0.75,38.925,1,0.88,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C7 H15 O6 N1","C7 H15 O6 N1",7,15,6,1,0,0,-1,0,60.3,2.14,0.86,"CHON","Carbohydrate","aliphatic","lipid"
"C12 H8 O4","C12 H8 O4",12,8,4,0,0,0,0.7,0,60.3,0.67,0.33,"CHO","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C9 H12 O6","C9 H12 O6",9,12,6,0,0,0,0.1667,0,60.3,1.33,0.67,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C8 H12 O5 N2","C8 H12 O5 N2",8,12,5,2,0,0,-0.1429,0.5,46.05,1.5,0.62,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C10 H16 O5","C10 H16 O5",10,16,5,0,0,0,0.0667,-0.6,77.4,1.6,0.5,"CHO","Protein","aliphatic","aliphatic"
"C9 H16 O4 N2","C9 H16 O4 N2",9,16,4,2,0,0,-0.2,-0.2222,66.6327,1.78,0.44,"CHON","Protein","aliphatic","aliphatic+N"
"C11 H20 O4","C11 H20 O4",11,20,4,0,0,0,0,-1.0909,91.39065,1.82,0.36,"CHO","Protein","aliphatic","aliphatic"
"C12 H24 O3","C12 H24 O3",12,24,3,0,0,0,-0.0476,-1.5,103.05,2,0.25,"CHO","Lipid","aliphatic","lipid"
"C7 H5 O3 N1 S1 34S1","C7 H5 O3 N1 S1 34S1",7,5,3,1,0,1,0.7143,0.8571,35.87265,0.71,0.43,"CHONS","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C8 H11 O6 N1","C8 H11 O6 N1",8,11,6,1,0,0,0,0.5,46.05,1.38,0.75,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C8 H12 O6 13C1","C8 H12 O6 13C1",8,12,6,0,0,0,0,0,60.3,1.5,0.75,"CHO","Carbohydrate","aliphatic","aliphatic"
"C9 H15 O5 N1","C9 H15 O5 N1",9,15,5,1,0,0,-0.0909,-0.2222,66.6327,1.67,0.56,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C9 H16 O5 13C1","C9 H16 O5 13C1",9,16,5,0,0,0,-0.0769,-0.6667,79.30095,1.78,0.56,"CHO","Amino Sugar","aliphatic","aliphatic"
"C8 H16 O4 N2 13C1","C8 H16 O4 N2 13C1",8,16,4,2,0,0,-0.5,-0.25,67.425,2,0.5,"CHON","Protein","aliphatic","lipid"
"C10 H19 O4 N1","C10 H19 O4 N1",10,19,4,1,0,0,-0.1429,-0.8,83.1,1.9,0.4,"CHON","Protein","aliphatic","aliphatic+N"
"C10 H20 O4 13C1","C10 H20 O4 13C1",10,20,4,0,0,0,-0.125,-1.2,94.5,2,0.4,"CHO","Protein","aliphatic","lipid"
"C9 H10 O5 13C1","C9 H10 O5 13C1",9,10,5,0,0,0,0.3846,0,60.3,1.11,0.56,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C8 H10 O7","C8 H10 O7",8,10,7,0,0,0,0.1111,0.5,46.05,1.25,0.88,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C7 H10 O6 N2","C7 H10 O6 N2",7,10,6,2,0,0,-0.5,1.1429,27.72735,1.43,0.86,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C12 H10 O4","C12 H10 O4",12,10,4,0,0,0,0.6,-0.1667,65.05095,0.83,0.33,"CHO","Lignin","aromatic","aromatic"
"C11 H10 O3 N2","C11 H10 O3 N2",11,10,3,2,0,0,0.6,0.1818,55.1187,0.91,0.27,"CHON","Other","aromatic","aromatic"
"C9 H14 O6","C9 H14 O6",9,14,6,0,0,0,0,-0.2222,66.6327,1.56,0.67,"CHO","Amino Sugar","aliphatic","aliphatic"
"C8 H14 O5 N2","C8 H14 O5 N2",8,14,5,2,0,0,-0.4286,0.25,53.175,1.75,0.62,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C8 H8 O6 13C1","C8 H8 O6 13C1",8,8,6,0,0,0,0.4,0.5,46.05,1,0.75,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C13 H14 O3","C13 H14 O3",13,14,3,0,0,0,0.4783,-0.6154,77.8389,1.08,0.23,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C10 H18 O5","C10 H18 O5",10,18,5,0,0,0,-0.0667,-0.8,83.1,1.8,0.5,"CHO","Protein","aliphatic","aliphatic"
"C11 H22 O4","C11 H22 O4",11,22,4,0,0,0,-0.1111,-1.2727,96.57195,2,0.36,"CHO","Protein","aliphatic","lipid"
"C11 H9 O4 N1","C11 H9 O4 N1",11,9,4,1,0,0,0.625,0.1818,55.1187,0.82,0.36,"CHON","Lignin","aromatic","aromatic"
"C8 H13 O6 N1","C8 H13 O6 N1",8,13,6,1,0,0,-0.25,0.25,53.175,1.62,0.75,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C8 H14 O6 13C1","C8 H14 O6 13C1",8,14,6,0,0,0,-0.2,-0.25,67.425,1.75,0.75,"CHO","Carbohydrate","aliphatic","aliphatic"
"C12 H13 O3 N1","C12 H13 O3 N1",12,13,3,1,0,0,0.4737,-0.3333,69.79905,1.08,0.25,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C9 H17 O5 N1","C9 H17 O5 N1",9,17,5,1,0,0,-0.2727,-0.4444,72.9654,1.89,0.56,"CHON","Other","aliphatic","aliphatic+N"
"C9 H18 O5 13C1","C9 H18 O5 13C1",9,18,5,0,0,0,-0.2308,-0.8889,85.63365,2,0.56,"CHO","Other","aliphatic","lipid"
"C7 H8 O6 S1","C7 H8 O6 S1",7,8,6,0,0,1,0,0.8571,35.87265,1.14,0.86,"CHOS","Tannin","unsaturated/lignin","unsaturated/lignin"
"C7 H7 O6 N1 13C1","C7 H7 O6 N1 13C1",7,7,6,1,0,0,0.3333,1.1429,27.72735,1,0.86,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C11 H8 O5","C11 H8 O5",11,8,5,0,0,0,0.6471,0.1818,55.1187,0.73,0.45,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C8 H12 O5 S1","C8 H12 O5 S1",8,12,5,0,0,1,-0.1111,0,60.3,1.5,0.62,"CHOS","Amino Sugar","aliphatic","aliphatic"
"C8 H12 O7","C8 H12 O7",8,12,7,0,0,0,-0.1111,0.25,53.175,1.5,0.88,"CHO","Carbohydrate","aliphatic","aliphatic"
"C10 H16 O4 13C1","C10 H16 O4 13C1",10,16,4,0,0,0,0.125,-0.8,83.1,1.6,0.4,"CHO","Protein","aliphatic","aliphatic"
"C11 H19 O3 N1","C11 H19 O3 N1",11,19,3,1,0,0,0.0588,-0.9091,86.20935,1.73,0.27,"CHON","Lipid","aliphatic","aliphatic+N"
"C7 H12 O6 N2","C7 H12 O6 N2",7,12,6,2,0,0,-1,0.8571,35.87265,1.71,0.86,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C12 H12 O4","C12 H12 O4",12,12,4,0,0,0,0.5,-0.3333,69.79905,1,0.33,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H12 O3 N2","C11 H12 O3 N2",11,12,3,2,0,0,0.4667,0,60.3,1.09,0.27,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C9 H16 O6","C9 H16 O6",9,16,6,0,0,0,-0.1667,-0.4444,72.9654,1.78,0.67,"CHO","Amino Sugar","aliphatic","aliphatic"
"C13 H16 O3","C13 H16 O3",13,16,3,0,0,0,0.3913,-0.7692,82.2222,1.23,0.23,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C8 H17 O5 N1 13C1","C8 H17 O5 N1 13C1",8,17,5,1,0,0,-0.5556,-0.5,74.55,2.12,0.62,"CHON","Other","aliphatic","lipid"
"C10 H20 O5","C10 H20 O5",10,20,5,0,0,0,-0.2,-1,88.8,2,0.5,"CHO","Protein","aliphatic","lipid"
"C10 H7 O5 N1","C10 H7 O5 N1",10,7,5,1,0,0,0.6923,0.6,43.2,0.7,0.5,"CHON","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C7 H11 O7 N1","C7 H11 O7 N1",7,11,7,1,0,0,-0.6,0.8571,35.87265,1.57,1,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C8 H6 O7","C8 H6 O7",8,6,7,0,0,0,0.5556,1,31.8,0.75,0.88,"CHO","Tannin","aromatic","aromatic"
"C11 H11 O4 N1","C11 H11 O4 N1",11,11,4,1,0,0,0.5,0,60.3,1,0.36,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C8 H16 O6 13C1","C8 H16 O6 13C1",8,16,6,0,0,0,-0.4,-0.5,74.55,2,0.75,"CHO","Carbohydrate","aliphatic","lipid"
"C12 H15 O3 N1","C12 H15 O3 N1",12,15,3,1,0,0,0.3684,-0.5,74.55,1.25,0.25,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C13 H12 O3","C13 H12 O3",13,12,3,0,0,0,0.5652,-0.4615,73.45275,0.92,0.23,"CHO","Other","aromatic","aromatic"
"C10 H6 O6","C10 H6 O6",10,6,6,0,0,0,0.7143,0.6,43.2,0.6,0.6,"CHO","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
