"","molecular_formula","C","H","O","N","P","S","AImod","NOSC","GFE","HC","OC","El","Class1","Class2","Class3"
"C12 H20 O5 13C1","C12 H20 O5 13C1",12,20,5,0,0,0,0.0526,-0.8333,84.04905,1.67,0.42,"CHO","Protein","aliphatic","aliphatic"
"C13 H23 O4 N1","C13 H23 O4 N1",13,23,4,1,0,0,0,-0.9231,86.60835,1.77,0.31,"CHON","Protein","aliphatic","aliphatic+N"
"C13 H24 O4 13C1","C13 H24 O4 13C1",13,24,4,0,0,0,0,-1.2308,95.3778,1.85,0.31,"CHO","Protein","aliphatic","aliphatic"
"C14 H27 O3 N1","C14 H27 O3 N1",14,27,3,1,0,0,-0.0435,-1.2857,96.94245,1.93,0.21,"CHON","Lipid","aliphatic","aliphatic+N"
"C15 H32 O2 13C1","C15 H32 O2 13C1",15,32,2,0,0,0,-0.0714,-1.8667,113.50095,2.13,0.13,"CHO","Lipid","aliphatic","lipid"
"C10 H10 O8","C10 H10 O8",10,10,8,0,0,0,0.3333,0.6,43.2,1,0.8,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C7 H14 O8 S1","C7 H14 O8 S1",7,14,8,0,0,1,-2,0.5714,44.0151,2,1.14,"CHOS","Other","aliphatic","carbohydrate"
"C14 H10 O5","C14 H10 O5",14,10,5,0,0,0,0.6522,0,60.3,0.71,0.36,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C11 H14 O5 S1","C11 H14 O5 S1",11,14,5,0,0,1,0.2,-0.1818,65.4813,1.27,0.45,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H14 O7","C11 H14 O7",11,14,7,0,0,0,0.2,0,60.3,1.27,0.64,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C8 H12 O6 N2 13C2","C8 H12 O6 N2 13C2",8,12,6,2,0,0,-0.3333,0.75,38.925,1.5,0.75,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C10 H14 O6 N2","C10 H14 O6 N2",10,14,6,2,0,0,0,0.4,48.9,1.4,0.6,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C15 H14 O4","C15 H14 O4",15,14,4,0,0,0,0.5385,-0.4,71.7,0.93,0.27,"CHO","Other","aromatic","aromatic"
"C12 H18 O6","C12 H18 O6",12,18,6,0,0,0,0.1111,-0.5,74.55,1.5,0.5,"CHO","Protein","aliphatic","aliphatic"
"C11 H18 O5 N2","C11 H18 O5 N2",11,18,5,2,0,0,-0.0769,-0.1818,65.4813,1.64,0.45,"CHON","Protein","aliphatic","aliphatic+N"
"C16 H18 O3","C16 H18 O3",16,18,3,0,0,0,0.4483,-0.75,81.675,1.12,0.19,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C13 H22 O5","C13 H22 O5",13,22,5,0,0,0,0.0476,-0.9231,86.60835,1.69,0.38,"CHO","Protein","aliphatic","aliphatic"
"C12 H22 O4 N2","C12 H22 O4 N2",12,22,4,2,0,0,-0.125,-0.6667,79.30095,1.83,0.33,"CHON","Protein","aliphatic","aliphatic+N"
"C14 H26 O4","C14 H26 O4",14,26,4,0,0,0,0,-1.2857,96.94245,1.86,0.29,"CHO","Lipid","aliphatic","aliphatic"
"C10 H23 O6 N1","C10 H23 O6 N1",10,23,6,1,0,0,-0.6667,-0.8,83.1,2.3,0.6,"CHON","Other","aliphatic","lipid"
"C15 H30 O3","C15 H30 O3",15,30,3,0,0,0,-0.037,-1.6,105.9,2,0.2,"CHO","Lipid","aliphatic","lipid"
"C13 H10 O5 13C1","C13 H10 O5 13C1",13,10,5,0,0,0,0.619,0,60.3,0.77,0.38,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C10 H14 O5 S1 13C1","C10 H14 O5 S1 13C1",10,14,5,0,0,1,0.0769,-0.2,66,1.4,0.5,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H13 O7 N1","C10 H13 O7 N1",10,13,7,1,0,0,0.0909,0.4,48.9,1.3,0.7,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C10 H14 O7 13C1","C10 H14 O7 13C1",10,14,7,0,0,0,0.0769,0,60.3,1.4,0.7,"CHO","Amino Sugar","unsaturated/lignin","unsaturated/lignin"
"C9 H13 O6 N3","C9 H13 O6 N3",9,13,6,3,0,0,-0.3333,0.8889,34.96635,1.44,0.67,"CHON","Amino Sugar","unsaturated/lignin","unsaturated/lignin"
"C11 H17 O6 N1","C11 H17 O6 N1",11,17,6,1,0,0,0,-0.1818,65.4813,1.55,0.55,"CHON","Protein","aliphatic","aliphatic+N"
"C11 H18 O6 13C1","C11 H18 O6 13C1",11,18,6,0,0,0,0,-0.5455,75.84675,1.64,0.55,"CHO","Protein","aliphatic","aliphatic"
"C10 H17 O5 N3","C10 H17 O5 N3",10,17,5,3,0,0,-0.3333,0.2,54.6,1.7,0.5,"CHON","Protein","aliphatic","aliphatic+N"
"C13 H7 O2 N2 P1","C13 H7 O2 N2 P1",13,7,2,2,1,0,0.8889,-0.1538,64.6833,0.54,0.15,"CHONP","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C12 H21 O5 N1","C12 H21 O5 N1",12,21,5,1,0,0,-0.0588,-0.6667,79.30095,1.75,0.42,"CHON","Protein","aliphatic","aliphatic+N"
"C12 H22 O5 13C1","C12 H22 O5 13C1",12,22,5,0,0,0,-0.0526,-1,88.8,1.83,0.42,"CHO","Protein","aliphatic","aliphatic"
"C13 H25 O4 N1","C13 H25 O4 N1",13,25,4,1,0,0,-0.1,-1.0769,90.99165,1.92,0.31,"CHON","Protein","aliphatic","aliphatic+N"
"C13 H26 O4 13C1","C13 H26 O4 13C1",13,26,4,0,0,0,-0.0909,-1.3846,99.7611,2,0.31,"CHO","Protein","aliphatic","lipid"
"C14 H29 O3 N1","C14 H29 O3 N1",14,29,3,1,0,0,-0.1304,-1.4286,101.0151,2.07,0.21,"CHON","Lipid","aliphatic","lipid"
"C14 H11 O1 N2 P1","C14 H11 O1 N2 P1",14,11,1,2,1,0,0.7143,-0.5714,76.5849,0.79,0.07,"CHONP","Unsat Hydrocarbon","condensed aromatic","condensed aromatic"
"C13 H8 O6","C13 H8 O6",13,8,6,0,0,0,0.7,0.3077,51.53055,0.62,0.46,"CHO","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C10 H12 O6 S1","C10 H12 O6 S1",10,12,6,0,0,1,0.1667,0.2,54.6,1.2,0.6,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H12 O8","C10 H12 O8",10,12,8,0,0,0,0.1667,0.4,48.9,1.2,0.8,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C9 H12 O7 N2","C9 H12 O7 N2",9,12,7,2,0,0,-0.1429,0.8889,34.96635,1.33,0.78,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C14 H12 O5","C14 H12 O5",14,12,5,0,0,0,0.5652,-0.1429,64.37265,0.86,0.36,"CHO","Lignin","aromatic","aromatic"
"C13 H12 O4 N2","C13 H12 O4 N2",13,12,4,2,0,0,0.5556,0.1538,55.9167,0.92,0.31,"CHON","Lignin","aromatic","aromatic"
"C11 H16 O7","C11 H16 O7",11,16,7,0,0,0,0.0667,-0.1818,65.4813,1.45,0.64,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H16 O6 N2","C10 H16 O6 N2",10,16,6,2,0,0,-0.2,0.2,54.6,1.6,0.6,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C15 H16 O4","C15 H16 O4",15,16,4,0,0,0,0.4615,-0.5333,75.49905,1.07,0.27,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C12 H20 O4 S1","C12 H20 O4 S1",12,20,4,0,0,1,0,-0.8333,84.04905,1.67,0.33,"CHOS","Protein","aliphatic","aliphatic"
"C12 H20 O6","C12 H20 O6",12,20,6,0,0,0,0,-0.6667,79.30095,1.67,0.5,"CHO","Protein","aliphatic","aliphatic"
"C11 H20 O5 N2","C11 H20 O5 N2",11,20,5,2,0,0,-0.2308,-0.3636,70.6626,1.82,0.45,"CHON","Protein","aliphatic","aliphatic+N"
"C16 H20 O3","C16 H20 O3",16,20,3,0,0,0,0.3793,-0.875,85.2375,1.25,0.19,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C13 H24 O5","C13 H24 O5",13,24,5,0,0,0,-0.0476,-1.0769,90.99165,1.85,0.38,"CHO","Protein","aliphatic","aliphatic"
"C14 H28 O4","C14 H28 O4",14,28,4,0,0,0,-0.0833,-1.4286,101.0151,2,0.29,"CHO","Lipid","aliphatic","lipid"
"C9 H21 O7 N1","C9 H21 O7 N1",9,21,7,1,0,0,-1,-0.4444,72.9654,2.33,0.78,"CHON","Other","aliphatic","lipid"
"C11 H7 O5 N3","C11 H7 O5 N3",11,7,5,3,0,0,0.8182,1.0909,29.20935,0.64,0.45,"CHON","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C9 H11 O8 N1","C9 H11 O8 N1",9,11,8,1,0,0,0,0.8889,34.96635,1.22,0.89,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C13 H11 O5 N1","C13 H11 O5 N1",13,11,5,1,0,0,0.5789,0.1538,55.9167,0.85,0.38,"CHON","Lignin","aromatic","aromatic"
"C12 H11 O4 N3","C12 H11 O4 N3",12,11,4,3,0,0,0.5714,0.5,46.05,0.92,0.33,"CHON","Lignin","aromatic","aromatic"
"C10 H15 O7 N1","C10 H15 O7 N1",10,15,7,1,0,0,-0.0909,0.2,54.6,1.5,0.7,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C10 H16 O7 13C1","C10 H16 O7 13C1",10,16,7,0,0,0,-0.0769,-0.2,66,1.6,0.7,"CHO","Carbohydrate","aliphatic","aliphatic"
"C9 H15 O6 N3","C9 H15 O6 N3",9,15,6,3,0,0,-0.6667,0.6667,41.29905,1.67,0.67,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C14 H15 O4 N1","C14 H15 O4 N1",14,15,4,1,0,0,0.4545,-0.2857,68.44245,1.07,0.29,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C9 H16 O6 N2 13C1","C9 H16 O6 N2 13C1",9,16,6,2,0,0,-0.5,0.2222,53.9673,1.78,0.67,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C11 H19 O6 N1","C11 H19 O6 N1",11,19,6,1,0,0,-0.1429,-0.3636,70.6626,1.73,0.55,"CHON","Protein","aliphatic","aliphatic+N"
"C11 H20 O6 13C1","C11 H20 O6 13C1",11,20,6,0,0,0,-0.125,-0.7273,81.02805,1.82,0.55,"CHO","Protein","aliphatic","aliphatic"
"C12 H23 O5 N1","C12 H23 O5 N1",12,23,5,1,0,0,-0.1765,-0.8333,84.04905,1.92,0.42,"CHON","Protein","aliphatic","aliphatic+N"
"C12 H24 O5 13C1","C12 H24 O5 13C1",12,24,5,0,0,0,-0.1579,-1.1667,93.55095,2,0.42,"CHO","Protein","aliphatic","lipid"
"C14 H8 O5","C14 H8 O5",14,8,5,0,0,0,0.7391,0.1429,56.22735,0.57,0.36,"CHO","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C14 H13 O1 N2 P1","C14 H13 O1 N2 P1",14,13,1,2,1,0,0.619,-0.7143,80.65755,0.93,0.07,"CHONP","Unsat Hydrocarbon","aromatic","aromatic"
"C13 H10 O6","C13 H10 O6",13,10,6,0,0,0,0.6,0.1538,55.9167,0.77,0.46,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C10 H14 O6 S1","C10 H14 O6 S1",10,14,6,0,0,1,0,0,60.3,1.4,0.6,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C12 H10 O5 N2","C12 H10 O5 N2",12,10,5,2,0,0,0.6,0.5,46.05,0.83,0.42,"CHON","Lignin","aromatic","aromatic"
"C10 H14 O8","C10 H14 O8",10,14,8,0,0,0,0,0.2,54.6,1.4,0.8,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C9 H14 O7 N2","C9 H14 O7 N2",9,14,7,2,0,0,-0.4286,0.6667,41.29905,1.56,0.78,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C14 H14 O5","C14 H14 O5",14,14,5,0,0,0,0.4783,-0.2857,68.44245,1,0.36,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C13 H14 O4 N2","C13 H14 O4 N2",13,14,4,2,0,0,0.4444,0,60.3,1.08,0.31,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H18 O7","C11 H18 O7",11,18,7,0,0,0,-0.0667,-0.3636,70.6626,1.64,0.64,"CHO","Amino Sugar","aliphatic","aliphatic"
"C10 H18 O6 N2","C10 H18 O6 N2",10,18,6,2,0,0,-0.4,0,60.3,1.8,0.6,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C15 H18 O4","C15 H18 O4",15,18,4,0,0,0,0.3846,-0.6667,79.30095,1.2,0.27,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C12 H20 O5 18O1","C12 H20 O5 18O1",12,20,5,0,0,0,0.0526,-0.8333,84.04905,1.67,0.42,"CHO","Protein","aliphatic","aliphatic"
"C14 H14 O3 N2","C14 H14 O3 N2",14,14,3,2,0,0,0.5238,-0.1429,64.37265,1,0.21,"CHON","Other","aromatic","aromatic"
"C14 H18 O3 N2","C14 H18 O3 N2",14,18,3,2,0,0,0.3333,-0.4286,72.5151,1.29,0.21,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C7 H18 O8 N2","C7 H18 O8 N2",7,18,8,2,0,0,-6,0.5714,44.0151,2.57,1.14,"CHON","Other","aliphatic","carbohydrate"
"C12 H22 O6","C12 H22 O6",12,22,6,0,0,0,-0.1111,-0.8333,84.04905,1.83,0.5,"CHO","Protein","aliphatic","aliphatic"
"C16 H22 O3","C16 H22 O3",16,22,3,0,0,0,0.3103,-1,88.8,1.38,0.19,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C13 H26 O5","C13 H26 O5",13,26,5,0,0,0,-0.1429,-1.2308,95.3778,2,0.38,"CHO","Protein","aliphatic","lipid"
"C11 H6 O1 N1 P1 S2","C11 H6 O1 N1 P1 S2",11,6,1,1,1,2,0.8462,-0.1818,65.4813,0.55,0.09,"CHONPS","Other","condensed aromatic","condensed aromatic"
"C12 H9 O6 N1","C12 H9 O6 N1",12,9,6,1,0,0,0.625,0.5,46.05,0.75,0.5,"CHON","Cond Hydrocarbon","aromatic","aromatic"
"C9 H13 O8 N1","C9 H13 O8 N1",9,13,8,1,0,0,-0.25,0.6667,41.29905,1.44,0.89,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C9 H14 O8 13C1","C9 H14 O8 13C1",9,14,8,0,0,0,-0.2,0.2222,53.9673,1.56,0.89,"CHO","Carbohydrate","aliphatic","aliphatic"
"C13 H13 O5 N1","C13 H13 O5 N1",13,13,5,1,0,0,0.4737,0,60.3,1,0.38,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H17 O7 N1","C10 H17 O7 N1",10,17,7,1,0,0,-0.2727,0,60.3,1.7,0.7,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C10 H18 O7 13C1","C10 H18 O7 13C1",10,18,7,0,0,0,-0.2308,-0.4,71.7,1.8,0.7,"CHO","Carbohydrate","aliphatic","aliphatic"
"C14 H17 O4 N1","C14 H17 O4 N1",14,17,4,1,0,0,0.3636,-0.4286,72.5151,1.21,0.29,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H21 O6 N1","C11 H21 O6 N1",11,21,6,1,0,0,-0.2857,-0.5455,75.84675,1.91,0.55,"CHON","Protein","aliphatic","aliphatic+N"
"C11 H22 O6 13C1","C11 H22 O6 13C1",11,22,6,0,0,0,-0.25,-0.9091,86.20935,2,0.55,"CHO","Protein","aliphatic","lipid"
"C10 H21 O5 N3","C10 H21 O5 N3",10,21,5,3,0,0,-0.7778,-0.2,66,2.1,0.5,"CHON","Other","aliphatic","lipid"
"C12 H25 O5 N1","C12 H25 O5 N1",12,25,5,1,0,0,-0.2941,-1,88.8,2.08,0.42,"CHON","Other","aliphatic","lipid"
"C10 H10 O6 S1","C10 H10 O6 S1",10,10,6,0,0,1,0.3333,0.4,48.9,1,0.6,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C12 H8 O7","C12 H8 O7",12,8,7,0,0,0,0.6471,0.5,46.05,0.67,0.58,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C13 H12 O6","C13 H12 O6",13,12,6,0,0,0,0.5,0,60.3,0.92,0.46,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H16 O6 S1","C10 H16 O6 S1",10,16,6,0,0,1,-0.1667,-0.2,66,1.6,0.6,"CHOS","Amino Sugar","aliphatic","aliphatic"
"C9 H11 O7 N1 13C1","C9 H11 O7 N1 13C1",9,11,7,1,0,0,0.1111,0.6667,41.29905,1.22,0.78,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C12 H12 O5 N2","C12 H12 O5 N2",12,12,5,2,0,0,0.4667,0.3333,50.80095,1,0.42,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H16 O8","C10 H16 O8",10,16,8,0,0,0,-0.1667,0,60.3,1.6,0.8,"CHO","Carbohydrate","aliphatic","aliphatic"
"C12 H8 O5 N2","C12 H8 O5 N2",12,8,5,2,0,0,0.7333,0.6667,41.29905,0.67,0.42,"CHON","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C9 H16 O7 N2","C9 H16 O7 N2",9,16,7,2,0,0,-0.7143,0.4444,47.6346,1.78,0.78,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C14 H16 O5","C14 H16 O5",14,16,5,0,0,0,0.3913,-0.4286,72.5151,1.14,0.36,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C13 H16 O4 N2","C13 H16 O4 N2",13,16,4,2,0,0,0.3333,-0.1538,64.6833,1.23,0.31,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H20 O7","C11 H20 O7",11,20,7,0,0,0,-0.2,-0.5455,75.84675,1.82,0.64,"CHO","Other","aliphatic","aliphatic"
"C15 H20 O4","C15 H20 O4",15,20,4,0,0,0,0.3077,-0.8,83.1,1.33,0.27,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C12 H24 O4 S1","C12 H24 O4 S1",12,24,4,0,0,1,-0.2222,-1.1667,93.55095,2,0.33,"CHOS","Protein","aliphatic","lipid"
"C12 H24 O6","C12 H24 O6",12,24,6,0,0,0,-0.2222,-1,88.8,2,0.5,"CHO","Protein","aliphatic","lipid"
"C16 H24 O3","C16 H24 O3",16,24,3,0,0,0,0.2414,-1.125,92.3625,1.5,0.19,"CHO","Other","aliphatic","aliphatic"
"C12 H11 O6 N1","C12 H11 O6 N1",12,11,6,1,0,0,0.5,0.3333,50.80095,0.92,0.5,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C12 H12 O6 13C1","C12 H12 O6 13C1",12,12,6,0,0,0,0.4444,0,60.3,1,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C9 H15 O8 N1","C9 H15 O8 N1",9,15,8,1,0,0,-0.5,0.4444,47.6346,1.67,0.89,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C14 H13 O4 N1","C14 H13 O4 N1",14,13,4,1,0,0,0.5455,-0.1429,64.37265,0.93,0.29,"CHON","Lignin","aromatic","aromatic"
"C13 H15 O5 N1","C13 H15 O5 N1",13,15,5,1,0,0,0.3684,-0.1538,64.6833,1.15,0.38,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C13 H16 O5 13C1","C13 H16 O5 13C1",13,16,5,0,0,0,0.3333,-0.4615,73.45275,1.23,0.38,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H19 O7 N1","C10 H19 O7 N1",10,19,7,1,0,0,-0.4545,-0.2,66,1.9,0.7,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C14 H19 O4 N1","C14 H19 O4 N1",14,19,4,1,0,0,0.2727,-0.5714,76.5849,1.36,0.29,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C14 H20 O4 13C1","C14 H20 O4 13C1",14,20,4,0,0,0,0.25,-0.8571,84.72735,1.43,0.29,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H23 O6 N1","C11 H23 O6 N1",11,23,6,1,0,0,-0.4286,-0.7273,81.02805,2.09,0.55,"CHON","Other","aliphatic","lipid"
"C12 H27 O5 N1","C12 H27 O5 N1",12,27,5,1,0,0,-0.4118,-1.1667,93.55095,2.25,0.42,"CHON","Other","aliphatic","lipid"
"C11 H6 O8","C11 H6 O8",11,6,8,0,0,0,0.7143,0.9091,34.39065,0.55,0.73,"CHO","Other","condensed aromatic","condensed aromatic"
"C12 H10 O7","C12 H10 O7",12,10,7,0,0,0,0.5294,0.3333,50.80095,0.83,0.58,"CHO","Lignin","aromatic","aromatic"
"C9 H14 O7 S1","C9 H14 O7 S1",9,14,7,0,0,1,-0.3333,0.2222,53.9673,1.56,0.78,"CHOS","Carbohydrate","aliphatic","aliphatic"
"C11 H10 O6 N2","C11 H10 O6 N2",11,10,6,2,0,0,0.5,0.7273,39.57195,0.91,0.55,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H16 O5 S1","C11 H16 O5 S1",11,16,5,0,0,1,0.0667,-0.3636,70.6626,1.45,0.45,"CHOS","Protein","unsaturated/lignin","unsaturated/lignin"
"C16 H10 O4","C16 H10 O4",16,10,4,0,0,0,0.7143,-0.125,63.8625,0.62,0.25,"CHO","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C15 H11 O1 N2 P1","C15 H11 O1 N2 P1",15,11,1,2,1,0,0.7391,-0.5333,75.49905,0.73,0.07,"CHONP","Unsat Hydrocarbon","condensed aromatic","condensed aromatic"
"C13 H14 O6","C13 H14 O6",13,14,6,0,0,0,0.4,-0.1538,64.6833,1.08,0.46,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H18 O6 S1","C10 H18 O6 S1",10,18,6,0,0,1,-0.3333,-0.4,71.7,1.8,0.6,"CHOS","Amino Sugar","aliphatic","aliphatic"
"C12 H14 O5 N2","C12 H14 O5 N2",12,14,5,2,0,0,0.3333,0.1667,55.54905,1.17,0.42,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H17 O6 N1 13C1","C10 H17 O6 N1 13C1",10,17,6,1,0,0,-0.1667,-0.2,66,1.7,0.6,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C10 H18 O8","C10 H18 O8",10,18,8,0,0,0,-0.3333,-0.2,66,1.8,0.8,"CHO","Carbohydrate","aliphatic","aliphatic"
"C14 H18 O5","C14 H18 O5",14,18,5,0,0,0,0.3043,-0.5714,76.5849,1.29,0.36,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C11 H22 O5 S1","C11 H22 O5 S1",11,22,5,0,0,1,-0.3333,-0.9091,86.20935,2,0.45,"CHOS","Protein","aliphatic","lipid"
"C11 H22 O7","C11 H22 O7",11,22,7,0,0,0,-0.3333,-0.7273,81.02805,2,0.64,"CHO","Other","aliphatic","lipid"
"C15 H22 O4","C15 H22 O4",15,22,4,0,0,0,0.2308,-0.9333,86.89905,1.47,0.27,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C12 H26 O4 S1","C12 H26 O4 S1",12,26,4,0,0,1,-0.3333,-1.3333,98.29905,2.17,0.33,"CHOS","Other","aliphatic","lipid"
"C16 H26 O3","C16 H26 O3",16,26,3,0,0,0,0.1724,-1.25,95.925,1.62,0.19,"CHO","Lipid","aliphatic","aliphatic"
"C6 H10 O5 N3 P1 S1","C6 H10 O5 N3 P1 S1",6,10,5,3,1,1,2.3333,1,31.8,1.67,0.83,"CHONPS","Carbohydrate","condensed aromatic","condensed aromatic"
"C11 H9 O7 N1","C11 H9 O7 N1",11,9,7,1,0,0,0.5385,0.7273,39.57195,0.82,0.64,"CHON","Lignin","aromatic","aromatic"
"C8 H13 O7 N1 S1","C8 H13 O7 N1 S1",8,13,7,1,0,1,-1,0.75,38.925,1.62,0.88,"CHONS","Carbohydrate","aliphatic","aliphatic+N"
"C11 H10 O7 13C1","C11 H10 O7 13C1",11,10,7,0,0,0,0.4667,0.3636,49.9374,0.91,0.64,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C10 H20 O5 N2 13C1","C10 H20 O5 N2 13C1",10,20,5,2,0,0,-0.4545,-0.4,71.7,2,0.5,"CHON","Protein","aliphatic","lipid"
"C8 H13 O9 N1","C8 H13 O9 N1",8,13,9,1,0,0,-1,1,31.8,1.62,1.12,"CHON","Other","aliphatic","aliphatic+N"
"C12 H13 O6 N1","C12 H13 O6 N1",12,13,6,1,0,0,0.375,0.1667,55.54905,1.08,0.5,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C12 H14 O6 13C1","C12 H14 O6 13C1",12,14,6,0,0,0,0.3333,-0.1667,65.05095,1.17,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C9 H17 O8 N1","C9 H17 O8 N1",9,17,8,1,0,0,-0.75,0.2222,53.9673,1.89,0.89,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C13 H17 O5 N1","C13 H17 O5 N1",13,17,5,1,0,0,0.2632,-0.3077,69.06945,1.31,0.38,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C13 H18 O5 13C1","C13 H18 O5 13C1",13,18,5,0,0,0,0.2381,-0.6154,77.8389,1.38,0.38,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C12 H6 O7","C12 H6 O7",12,6,7,0,0,0,0.7647,0.6667,41.29905,0.5,0.58,"CHO","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C10 H21 O7 N1","C10 H21 O7 N1",10,21,7,1,0,0,-0.6364,-0.4,71.7,2.1,0.7,"CHON","Carbohydrate","aliphatic","lipid"
"C12 H9 O1 P1 S2","C12 H9 O1 P1 S2",12,9,1,0,1,2,0.6471,-0.6667,79.30095,0.75,0.08,"CHOPS","Unsat Hydrocarbon","aromatic","aromatic"
"C14 H21 O4 N1","C14 H21 O4 N1",14,21,4,1,0,0,0.1818,-0.7143,80.65755,1.5,0.29,"CHON","Other","aliphatic","aliphatic+N"
"C12 H26 O4 33S1","C12 H26 O4 33S1",12,26,4,0,0,0,-0.2,-1.5,103.05,2.17,0.33,"CHOS","Other","aliphatic","lipid"
"C14 H22 O4 13C1","C14 H22 O4 13C1",14,22,4,0,0,0,0.1667,-1,88.8,1.57,0.29,"CHO","Lipid","aliphatic","aliphatic"
"C11 H26 O4 S1 13C1","C11 H26 O4 S1 13C1",11,26,4,0,0,1,-0.5,-1.4545,101.75325,2.36,0.36,"CHOS","Other","aliphatic","lipid"
"C12 H26 O3 S1 17O1","C12 H26 O3 S1 17O1",12,26,3,0,0,1,-0.2632,-1.5,103.05,2.17,0.25,"CHOS","Lipid","aliphatic","lipid"
"C11 H20 O5 S1","C11 H20 O5 S1",11,20,5,0,0,1,-0.2,-0.7273,81.02805,1.82,0.45,"CHOS","Protein","aliphatic","aliphatic"
"C11 H8 O8","C11 H8 O8",11,8,8,0,0,0,0.5714,0.7273,39.57195,0.73,0.73,"CHO","Tannin","aromatic","aromatic"
"C12 H12 O7","C12 H12 O7",12,12,7,0,0,0,0.4118,0.1667,55.54905,1,0.58,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
