Sample_Name,Proposal_ID,Sampling_Set,Core_Section,pH,MBC_mg_per_kg,MBN_mg_per_kg,SO4_S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,Ca_mg_per_100_g,Mg_mg_per_100_g,Na_mg_per_100_g,K_mg_per_100_g,CEC_meq_per_100_g,Total_C_percent,Total_N_percent,Total_S_percent,PO4_P_mg_per_kg,PO4_P_extraction,GWC_percent,WEOM_TOC_mg_per_kg,WEOM_TN_mg_per_kg,MAOM_TOC_mg_per_kg,MAOM_TN_mg_per_kg,Clay_percent,Sand_percent,Silt_percent,Beta_Glucosidase_ug_pNP_per_g_per_h,Bulk_density_g_per_cm3,flag_MBC,flag_MBN,flag_total_sulfur,phosphorus,phosphorus_unit,flag_GWC
60923_16_BTM,60923,16,BTM,6.44,34.87,4.59,3.0,0.32,1.9,3.0,0.8,66.0,13.5,3.85,0.02,0.13,25.34,2.96,0.26,0.02,7.35,Bray,17.25,23.25,2.82,117.91,4.86,39.1,12.8,48.2,21.2,1.22,,,,6.89,mg per kg,
60923_17_TOP,60923,17,TOP,6.13,55.76,14.28,4.0,0.27,2.5,3.6,0.8,102.0,14.16,3.98,0.03,0.37,33.52,3.99,0.32,0.03,0.2,Bray,25.41,30.84,4.07,62.41,7.44,41.1,14.8,44.2,51.3,1.0,,,,0.0,mg per kg,
60923_17_BTM,60923,17,BTM,6.24,21.93,7.24,2.0,0.39,1.8,2.0,1.3,90.0,20.04,5.39,0.04,0.14,41.29,4.05,0.32,0.03,4.45,Bray,21.55,36.26,4.28,161.67,10.43,43.2,14.5,42.4,28.2,1.12,,,,4.01,mg per kg,
60923_18_TOP,60923,18,TOP,5.96,95.82,28.99,5.0,0.33,1.8,7.5,0.7,108.0,8.76,3.12,0.06,0.58,23.29,3.08,0.24,0.02,,Bray,21.29,35.61,4.39,104.3,6.17,37.2,16.5,46.4,56.5,1.15,,,,0.0,mg per kg,Outlier
60923_18_BTM,60923,18,BTM,6.39,25.65,7.04,5.0,0.25,0.9,1.4,0.6,48.0,13.33,4.17,0.03,0.11,27.51,2.12,0.18,0.01,14.82,Bray,17.35,24.48,2.54,108.42,9.94,39.1,16.7,44.3,14.8,1.49,,,,15.73,mg per kg,
60923_19_TOP,60923,19,TOP,6.07,49.46,14.53,3.0,0.3,1.6,3.9,1.0,103.0,12.91,4.33,0.04,0.44,34.6,3.44,0.3,0.02,0.33,Bray,24.02,33.93,4.56,126.61,13.88,41.0,14.7,44.3,60.7,1.17,,,,0.29,mg per kg,
60923_19_BTM,60923,19,BTM,6.53,15.84,6.74,5.0,0.41,0.9,1.2,1.0,30.0,17.09,5.66,0.04,0.16,27.76,2.41,0.19,0.03,14.24,Bray,17.92,19.07,2.47,101.08,8.93,43.1,12.7,44.3,15.2,1.16,,,,14.27,mg per kg,
60923_20_TOP,60923,20,TOP,6.02,44.17,9.98,5.0,0.26,1.7,5.9,0.9,99.0,10.85,4.16,0.02,0.51,33.28,3.74,0.29,0.02,0.66,Bray,22.03,39.89,4.86,95.62,7.32,41.1,12.5,46.5,66.3,1.06,,,,0.58,mg per kg,
60923_20_BTM,60923,20,BTM,6.63,25.04,4.98,4.0,0.32,1.2,1.7,0.8,23.0,18.17,6.71,0.01,0.13,37.03,2.26,0.21,0.02,85.38,Bray,18.93,21.79,2.52,76.67,11.45,45.0,12.7,42.3,26.9,1.2,,,,91.43,mg per kg,
60923_21_TOP,60923,21,TOP,6.11,71.88,16.33,5.0,0.28,1.8,4.4,0.9,96.0,13.27,4.27,0.02,0.54,28.57,3.38,0.31,0.03,1.01,Bray,21.17,40.73,9.73,151.82,20.44,41.1,14.7,44.3,59.0,1.05,,,,0.29,mg per kg,
60923_21_BTM,60923,21,BTM,6.72,12.94,3.95,2.0,0.32,0.6,1.1,1.3,25.0,17.9,6.11,0.04,0.23,33.52,2.99,0.28,0.02,3.85,Bray,19.72,17.18,2.15,126.33,12.4,43.1,14.5,42.5,17.9,1.07,,,,2.42,mg per kg,
